pod_restart_rate,container_cpu_usage,container_memory_usage,node_cpu_usage,node_ready_status,label
3,5,10,152,1,APP_FAILURE
4,4,10,122,1,APP_FAILURE
5,4,10,113,1,APP_FAILURE
13,3,10,244,1,APP_FAILURE
15,3,10,163,1,APP_FAILURE
15,0,10,184,1,APP_FAILURE
1,3,10,144,1,APP_FAILURE
1,0,10,172,1,APP_FAILURE
3,0,10,158,1,APP_FAILURE
3,0,10,185,1,APP_FAILURE
1,0,10,175,1,APP_FAILURE
1,0,10,147,1,APP_FAILURE
3,3,10,168,1,APP_FAILURE
3,3000,10,4300,1,RESOURCE_EXHAUSTION
3,4000,11,5200,1,RESOURCE_EXHAUSTION
3,6000,11,6500,1,RESOURCE_EXHAUSTION
3,7000,12,7400,1,RESOURCE_EXHAUSTION
3,8000,12,8400,1,RESOURCE_EXHAUSTION
5,2,10,320,0,NODE_DEGRADATION
6,1,10,340,0,NODE_DEGRADATION
4,3,10,310,0,NODE_DEGRADATION


